28	2811	5642	44
24	2807	5633	41
26	2800	5621	41
28	2796	5617	42
26	2796	5611	42
24	2790	5607	42
29	2778	5592	39
27	2775	5587	37
26	2773	5575	40
27	2765	5579	38
28	2759	5559	44
26	2760	5562	37
29	2749	5552	40
26	2744	5542	39
31	2734	5533	39
24	2731	5530	42
27	2732	5518	37
26	2722	5516	40
29	2721	5503	42
29	2711	5501	32
28	2710	5491	43
22	2703	5487	37
27	2698	5477	37
28	2694	5474	39
25	2692	5461	37
24	2685	5467	38
30	2683	5454	42
31	2677	5450	39
33	2673	5439	44
29	2671	5439	39
32	2664	5425	42
25	2654	5420	45
28	2653	5414	38
24	2644	5410	40
29	2644	5395	39
27	2636	5394	40
28	2634	5384	43
30	2628	5389	40
28	2624	5371	37
28	2618	5373	40
32	2617	5365	39
26	2610	5365	33
28	2607	5348	38
27	2600	5351	37
28	2602	5336	44
29	2595	5334	38
29	2589	5321	44
31	2586	5322	39
29	2578	5312	41
24	2580	5313	32
25	2568	5298	42
28	2568	5296	41
29	2557	5288	36
29	2559	5281	39
25	2557	5267	40
31	2553	5268	38
32	2544	5255	41
29	2542	5256	39
28	2542	5241	36
28	2535	5247	35
35	2525	5233	36
30	2523	5227	36
28	2515	5215	42
31	2508	5217	37
29	2510	5204	42
27	2502	5207	41
23	2505	5195	42
28	2500	5193	39
26	2493	5180	38
24	2492	5185	43
28	2486	5171	39
29	2479	5173	42
29	2473	5165	38
28	2472	5161	40
32	2470	5153	39
32	2463	5147	34
27	2458	5141	44
32	2461	5138	38
27	2452	5123	42
32	2449	5123	37
24	2442	5114	40
24	2434	5108	40
24	2437	5098	46
29	2433	5096	35
30	2426	5085	38
26	2425	5084	42
27	2416	5071	42
30	2418	5075	42
25	2411	5064	44
26	2412	5064	43
26	2405	5052	41
34	2404	5049	36
26	2399	5035	37
31	2393	5036	43
32	2391	5024	47
25	2383	5025	45
29	2381	5011	42
28	2384	5012	38
25	2374	5003	46
29	2374	5002	42
32	2364	4990	42
29	2360	4989	37
25	2357	4983	44
22	2358	4982	38
28	2348	4967	42
30	2345	4965	40
25	2346	4954	39
29	2336	4951	39
28	2336	4940	42
26	2335	4943	40
26	2328	4936	40
28	2321	4937	43
26	2322	4917	42
26	2320	4917	42
32	2317	4908	42
25	2316	4908	38
27	2304	4895	37
26	2301	4898	42
31	2302	4890	39
27	2299	4886	40
31	2293	4876	39
26	2291	4877	39
27	2286	4868	41
29	2285	4863	37
31	2278	4859	43
29	2277	4856	41
30	2270	4843	43
24	2268	4847	40
31	2266	4834	42
29	2260	4830	41
24	2255	4825	41
30	2254	4820	34
29	2251	4811	37
25	2247	4812	39
26	2240	4804	42
29	2245	4802	42
31	2233	4792	40
26	2236	4793	40
25	2228	4782	39
30	2228	4780	39
30	2219	4775	38
28	2221	4772	42
26	2214	4760	40
32	2215	4761	37
29	2214	4754	40
26	2209	4756	41
31	2199	4743	39
27	2201	4743	37
27	2195	4732	42
25	2198	4737	37
25	2194	4725	40
28	2187	4728	38
33	2180	4719	41
28	2185	4721	41
29	2181	4701	42
28	2182	4713	37
30	2171	4694	43
28	2169	4698	36
26	2166	4687	39
32	2162	4694	35
31	2158	4675	37
21	2162	4680	36
27	2155	4671	42
31	2154	4670	42
32	2149	4663	43
31	2148	4662	37
27	2143	4653	42
26	2146	4656	40
31	2139	4645	42
26	2136	4649	35
26	2130	4634	40
32	2127	4642	36
30	2127	4630	38
28	2122	4632	45
29	2118	4621	42
29	2120	4623	32
29	2111	4616	41
24	2116	4613	40
29	2105	4605	43
24	2102	4609	38
27	2100	4591	37
26	2103	4595	36
31	2090	4586	41
31	2095	4585	38
29	2092	4581	41
22	2093	4578	39
29	2081	4569	35
31	2081	4572	36
27	2077	4563	39
28	2076	4562	42
28	2072	4553	38
28	2072	4555	40
28	2065	4544	42
27	2062	4547	39
24	2061	4534	43
27	2063	4533	37
27	2056	4523	39
22	2055	4524	37
25	2046	4514	43
28	2052	4514	39
26	2044	4500	43
28	2042	4503	35
31	2036	4496	41
30	2040	4497	37
34	2032	4486	39
28	2032	4494	39
31	2026	4484	39
27	2025	4479	41
26	2020	4476	45
29	2020	4479	39
29	2013	4466	40
26	2012	4470	36
31	2010	4459	39
28	2008	4463	40
28	2003	4452	42
29	2002	4455	39
31	1999	4442	44
23	1996	4447	38
26	1995	4442	41
33	1998	4445	38
27	1987	4429	42
29	1989	4438	44
27	1981	4425	39
